Anio;NombreCurso;Tipo de capacitación;Nombre corto;Plataforma de dictado;Autorización para el dictado de la capacitación;La inscripción a la capacitación, se realizará a través de:;Ministerio;Área;codMinistero;codArea;codPlataformaDicado;codMedioInscipcion;codTipoCapacitacion
2024;Abordaje de las adicciones: Evaluación de conductas suicidas;Curso e-learning;C-AAEC;Campus Córdoba;Secretario de adicciones Dario Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Abordaje de las adicciones: Primer contacto;Curso e-learning;C-AAPC;Campus Córdoba;Secretario de adicciones Santos García Ferreira;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Abordaje de las Adicciones: Trabajo en Grupo;Curso e-learning;C-AATG;Campus Córdoba;Secretario de adicciones Dario Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Abordaje integral para ETMI Plus Córdoba 2024;Curso e-learning;C-AIEPC;Campus Córdoba;Diosnel Bouchet, coordinador del Programa Provincial de VIH, ITS, Hepatitis Virales y Tuberculosis;De manera particular, a través de un formulario de google;Ministerio de Salud;Dirección General de Atención Primaria de la Salud;MS;DGAPS;CC;OTRO;EL
2024;Abordaje integral para la eliminación de la transmisión materno infantil (ETMI Plus) Córdoba 2023;Curso e-learning;C-AIEPC;Campus Córdoba;Directora de Integración Sanitaria Dra Ana Godoy;Formulario google;Ministerio de Salud;Dirección General de Integración Sanitaria;MS;DGIS;CC;FG;EL
2024;Abuso sexual en las Infancias y Adolescencias - Parte 2;Curso e-learning;C-ASIA;Campus Córdoba;Pohl, Héctor Javier - Jefe de Área / Kolker, Estela - Director de Capacitación y Coordinación Operativa;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Abuso sexual en las infancias y adolescencias: Definiciones básicas;Curso e-learning;C-ASI;Campus Córdoba;Directora de Coord operativa y Capacitación/María Estela Kolker;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Acompañar a infancias y adolescencias ante una situación de crisis;Curso e-learning;C-AIASC;Campus Córdoba;Pohl, Héctor Javier - Jefe de Área;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Adolescencia desde la perspectiva de derechos humanos;Curso e-learning;C-APDH;Campus Córdoba;Pohl, Héctor Javier - Jefe de Área;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Analista Funcional;Curso e-learning;EXTERNA;https://www.soysilvertech.org/;Victor Di Rienzo;https://www.soysilvertech.org/;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;OTRO;OTRO;EL
2024;Anatomía Patológica;Curso e-learning;C-AP;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Bancon Individuos;Curso e-learning;EXTERNA;Campus Córdoba;Victor Di Rienzo;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;CC;PCC;EL
2024;Centro de Idioma Córdoba - CHINO MANDARIN INICIAL;Curso e-learning;C-IJCM;Campus Córdoba;Luis Alberto Muñoz - Director de promoción, difusión y eventos especiales;FUP;Agencia Córdoba Jóven;Dirección de Promoción, Difusión y Eventos Especiales;ACJ;DPDEE;CC;FUP;EL
2024;Centro de Idioma Córdoba - FRANCES INICIAL;Curso e-learning;C-IJF;Campus Córdoba;Luis Alberto Muñoz - Director de promoción, difusión y eventos especiales;FUP;Agencia Córdoba Jóven;Dirección de Promoción, Difusión y Eventos Especiales;ACJ;DPDEE;CC;FUP;EL
2024;Centro de Idioma Córdoba - INGLES INICIAL;Curso e-learning;C-IJIN;Campus Córdoba;Luis Alberto Muñoz - Director Agencia Córdoba Joven;FUP;Agencia Córdoba Jóven;Dirección de Promoción, Difusión y Eventos Especiales;ACJ;DPDEE;CC;FUP;EL
2024;Centro de Idioma Córdoba - ITALIANO INICIAL;Curso e-learning;C-IJI;Campus Córdoba;Luis Alberto Muñoz - Director de promoción, difusión y eventos especiales;FUP;Agencia Córdoba Jóven;Dirección de Promoción, Difusión y Eventos Especiales;ACJ;DPDEE;CC;FUP;EL
2024;Centro de Idioma Córdoba - PORTUGUES INICIAL;Curso e-learning;C-IJP;Campus Córdoba;Luis Alberto Muñoz - Director de promoción, difusión y eventos especiales;FUP;Agencia Córdoba Jóven;Dirección de Promoción, Difusión y Eventos Especiales;ACJ;DPDEE;CC;FUP;EL
2024;Ciberseguridad;Curso e-learning;EXTERNA;Campus Córdoba;Victor Di Rienzo;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;CC;PCC;EL
2024;Componentes Centrales;Curso e-learning;C-CCEN;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Configuración (ERP);Curso e-learning;C-ERP;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Configuración LIS;Curso e-learning;C-CLIS;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Consecuencias del consumo de alcohol durante el embarazo;Curso e-learning;C-AAEA;Campus Córdoba;Secretario de adicciones Dario Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Consumo de alcohol y otras sustancias en adolescentes: Recomendaciones para referentes afectivos;Curso e-learning;C-CSA;Campus Córdoba;DARIO GIGENA PARKER SECRETARIO DE ADICCIONES;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
