anio;curso;fechaInicioInscripcion;fechaFinInscripcion;fechaInicioCurso;fechaFinCurso;Estado;CodEstado;publicaPCC
2024;C-LMC;2024-01-19;2024-01-30;2024-02-01;2024-02-16;Cerrado;CERR;
2024;C-CSA;2024-02-05;2024-02-12;2024-02-14;2024-02-26;Cerrado;CERR;
2024;C-AT;2024-02-05;2024-02-12;2024-02-14;2024-02-26;Cerrado;CERR;
2024;C-HTCS;2024-02-08;2024-02-14;2024-02-15;2024-02-26;Cerrado;CERR;
2024;C-SIGIPSA;2024-02-08;2024-02-16;2024-02-20;2024-03-27;Cerrado;CERR;
2024;C-AIEPC;2024-02-08;2024-02-16;2024-02-20;2024-03-29;Suspendido;SUSP;
2024;C-LMC;2024-02-06;2024-02-16;2024-02-21;2024-03-10;Cerrado;CERR;
2024;C-SSPMCE;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-LOB;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-SSPF;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-CVSCE;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-SSPMCE;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-SPMU;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-SSPMH;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-CVSH;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-HDD;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-AP;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-FAC;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-FAR;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-DPI;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-NUTRI;2024-02-05;2024-02-19;2024-02-22;2024-03-05;Suspendido;SUSP;
2024;C-EVCHC;2024-02-13;2024-02-21;2024-02-22;2024-03-04;Cerrado;CERR;
2024;C-ADDBP;2024-02-20;2024-02-26;2024-02-27;2023-03-11;Cerrado;CERR;
2024;C-CLLCD;2024-02-12;2024-02-27;2024-03-01;2024-03-31;Cancelado;CANC;
2024;C-CFV;2024-02-26;2024-02-29;2024-03-01;2024-04-26;Cerrado;CERR;
2024;C-AIASC;2024-02-20;2024-02-29;2024-03-05;2024-03-28;Cerrado;CERR;
2024;C-APDH;2024-02-20;2024-02-29;2024-03-05;2024-03-28;Cerrado;CERR;
2024;C-MSA;2024-03-04;2024-03-10;2024-03-11;2024-03-29;Cerrado;CERR;
2024;C-CSA;2024-03-01;2024-03-11;2024-03-12;2024-03-25;Cerrado;CERR;
2024;C-AT;2024-03-01;2024-03-11;2024-03-12;2024-03-25;Cerrado;CERR;
2024;C-DYT;2024-03-05;2024-03-11;2024-03-12;2024-03-29;Suspendido;SUSP;
2024;C-SSPMCE;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-SSPF;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-CVSCE;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-SSPMCE;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-SPMU;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-CVSCE;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-CVSH;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-DPI;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cerrado;CERR;
2024;C-FAR;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cancelado;CANC;
2024;C-FAC;2024-03-01;2024-03-15;2024-03-18;2024-04-01;Cancelado;CANC;
2024;C-TT;2024-03-01;2024-03-10;2024-03-18;2024-04-18;Cerrado;CERR;
2024;C-HIAIE;2024-03-01;2024-03-10;2024-03-18;2024-04-18;Cerrado;CERR;
2024;C-IW;2024-03-01;2024-03-10;2024-03-18;2024-04-18;Cerrado;CERR;
2024;C-IE;2024-03-01;2024-04-10;2024-03-18;2024-04-18;Cerrado;CERR;
2024;C-FD;2024-03-01;2024-03-10;2024-03-18;2024-04-30;Cerrado;CERR;
2024;C-IPEFP;2024-03-01;2024-03-10;2024-03-18;2024-04-30;Cerrado;CERR;
2024;C-GED;2024-03-04;2024-03-13;2024-03-18;2024-05-10;Cerrado;CERR;
